Show,Season,Episode
Paw Patrol,Season 7,Pups Save the Chalk Art / Pups Save the Hot Potato
Paw Patrol,Season 7,Pups Save a Bah Humdinger
Paw Patrol,Season 7,Pups Save Little Hairy / Pups Save a Kooky Climber
Paw Patrol,Season 7,Pups Save Queen Cluck-Cluck / Pups Save a Desert Flounder
Paw Patrol,Season 7,Moto Pups: Pups vs. the Ruff-Ruff Pack
Paw Patrol,Season 7,Pups Save a Trash-dinger / Pups Save the Royal Armor
Paw Patrol,Season 7,Moto Pups: Pups Save the Donuts / Moto Pups: Pups Save the Kitties
Paw Patrol,Season 7,Moto Pups: Pups Save a Moto Mayor
Paw Patrol,Season 7,Moto Pups: Rescue at Twisty Top Mesa / Moto Pups: Pups Save a Sneezy Chase
Paw Patrol,Season 7,Ultimate Rescue: Pups Stop a Junk-Monster / Pups Save the Whale Pod
Paw Patrol,Season 7,Pups Save Thundermouth / Pups Save a Class Pet
Paw Patrol,Season 8,Pups Save a Runaway Rooster / Pups Save a Snowbound Cow
Paw Patrol,Season 8,Pups Save a Sweet Mayor / Pups Save a Magic Trick
Paw Patrol,Season 8,Pups Save a Rubble-Double / Pups Save a Clown
Paw Patrol,Season 8,Pups Stop the Cheetah
Paw Patrol,Season 8,Pups Save the Mustache / Pups Save the Funhouse
Paw Patrol,Season 8,Sea Patrol: Pups Save a Water Walker / Sea Patrol: Pups Save a Windsurfer
Paw Patrol,Season 8,Pups Save the Hiding Elephants / Pups Save a Yodeler
Paw Patrol,Season 8,Pups Save the Dizzy Dust Express / Pups Save the Treetop Trekkers
Paw Patrol,Season 8,Pups Save the Treasure Cruise / Pups Save Rocket Ryder
Paw Patrol,Season 8,Pups and Katie Stop the Barking Kitty Crew / Pups Save the Glasses
Paw Patrol,Season 8,Pups vs. a Neon Humdinger / Pups Save a Royal Painting
Paw Patrol,Season 8,Pups Save a Chicken Tulip / Pups Stop an Xtreme Shark
Paw Patrol,Season 8,Pups Save a Show Jumper / Pups Save the Salmon
Paw Patrol,Season 8,Pups vs. Ouchy Paws / Pups Save a Glow-in-the-Dark-Party
Paw Patrol,Season 8,Rescue Knights: Quest for the Dragon's Tooth
Paw Patrol,Season 8,Pups Stop a Super Shaker / Pups Save a Flying Farmhouse
Paw Patrol,Season 8,Pups Save a Box Fort / Pups Save Travelin' Travis from Really Big Bill!
Paw Patrol,Season 8,Rescue Knights: Pups Save a Dozing Dragon
Paw Patrol,Season 8,Rescue Knights: Pups Save a Tournament / Rescue Knights: Pups Save the Baby Dragons
Paw Patrol,Season 8,Rescue Knights: Pups Break the Ice / Rescue Knights: Pups Save Excalibark
Paw Patrol,Season 8,Dancing with Luke Stars / Pups Save a Mischievous Octopus
Paw Patrol,Season 8,Pups Save the Kitties and the Kiddies / Pups Save a Greenhouse
Paw Patrol,Season 8,Pups Save the Floating Goodways / Pups Save the Portable Pet Wash
Paw Patrol,Season 8,Pups Save a Lonesome Walrus / Pups Save the Hummy Gummies
